,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude
0,8795,27066,Entire home/apt,Croydon,Fairfield,0,,2,1,1,90,3,51.380145,-0.098818
1,9293,29896,Entire home/apt,Kensington and Chelsea,Chelsea Riverside,108,4.5,4,2,1,150,1,51.482968,-0.174777
2,9554,31655,Private room,Haringey,Harringay,84,5,2,1,,50,1,51.587767,-0.105666
3,11076,40471,Private room,Ealing,Ealing Broadway,0,,2,1,,105,2,51.515645,-0.314508
4,11551,43039,Entire home/apt,Lambeth,Ferndale,146,4.5,4,1,1,142,3,51.462254,-0.117324
5,13913,54730,Private room,Islington,Tollington,9,5,2,1,1,74,1,51.568017,-0.111208
6,15400,60302,Entire home/apt,Kensington and Chelsea,Stanley,56,4.5,2,1,1,147,3,51.487962,-0.168981
7,17506,67915,Private room,Hammersmith and Fulham,Town,0,,2,1,1,202,4,51.478644,-0.197861
8,18317,37014,Entire home/apt,Richmond upon Thames,Kew,11,4.5,5,2,1,143,3,51.473664,-0.287364
9,24328,41759,Entire home/apt,Wandsworth,Latchmere,80,5,,2,,224,2,51.472981,-0.163764
10,24903,54987,Entire home/apt,Tower Hamlets,Limehouse,6,3.5,5,2,2,198,,51.511907,-0.037598
11,25023,102813,Entire home/apt,Wandsworth,West Hill,0,,4,2,1,135,10,51.446872,-0.218744
12,25123,103583,Private room,Barnet,Childs Hill,85,4.5,2,1,,53,3,51.572243,-0.20906
13,26223,110865,Entire home/apt,Islington,St. Mary's,36,4.5,5,1,1,191,3,51.542362,-0.103796
14,26482,110865,Entire home/apt,Islington,St. Mary's,29,4.5,4,1,1,191,2,51.53915,-0.10137
15,26682,113354,Private room,Kensington and Chelsea,Redcliffe,3,4.5,1,1,1,112,1,51.485037,-0.185547
16,28010,119316,Private room,Tower Hamlets,Weavers,20,4.5,3,1,1,90,3,51.525102,-0.073727
17,28311,54987,Entire home/apt,Tower Hamlets,Canary Wharf,10,3.5,5,2,2,198,5,51.49974,-0.01867
18,28630,123319,Private room,Hackney,Haggerston,0,,,1,2,112,28,51.536581,-0.068512
19,28766,123872,Private room,Croydon,Kenley,0,,1,1,,68,3,51.327071,-0.100774
20,28989,124734,Entire home/apt,Camden,Cantelowes,0,,2,2,1,97,180,51.546387,-0.128497
21,29256,125781,Entire home/apt,Barnet,Coppetts,1,5,,4,,278,7,51.615092,-0.158291
22,31361,134606,Private room,Newham,Plaistow North,72,5,2,1,,51,1,51.534841,0.027071
23,34575,149266,Entire home/apt,Islington,Caledonian,14,5,2,1,1,120,6,51.540928,-0.1192
24,34825,150078,Private room,Camden,King's Cross,108,4.5,4,1,,68,1,51.525131,-0.117492
25,36299,155938,Entire home/apt,Richmond upon Thames,Kew,35,5,5,3,,292,3,51.479345,-0.280662
26,36551,157191,Private room,Southwark,Riverside,138,5,2,1,0,108,2,51.50261,-0.077331
27,36660,157884,Private room,Haringey,Fortis Green,316,5,2,1,,97,2,51.584612,-0.161696
28,37384,161459,Private room,Southwark,The Lane,44,5,2,1,1,105,3,51.468713,-0.064552
29,38151,163634,Private room,Croydon,Upper Norwood,0,,2,1,,98,1,51.419397,-0.087219
30,38407,164566,Entire home/apt,Tower Hamlets,Canary Wharf,82,4.5,3,1,,118,2,51.499945,-0.026243
31,38605,165579,Private room,Hammersmith and Fulham,Shepherd's Bush Green,183,4.5,2,1,1,93,2,51.506867,-0.233281
32,38610,165579,Entire home/apt,Hammersmith and Fulham,Shepherd's Bush Green,5,5,,5,2,421,7,51.508189,-0.232842
33,39387,168920,Private room,Westminster,Harrow Road,5,4.5,2,1,1,82,3,51.525888,-0.199425
34,39571,169878,Entire home/apt,Hackney,Victoria,35,4.5,,2,1,150,4,51.535258,-0.054584
35,40137,172289,Entire home/apt,Haringey,Muswell Hill,142,4.5,2,1,1,90,3,51.586822,-0.128324
36,40228,167107,Private room,Haringey,West Green,0,,2,1,1,43,1,51.5886,-0.088053
37,40738,166236,Entire home/apt,Hackney,Haggerston,44,4.5,4,1,1,181,1,51.52871,-0.076116
38,40925,168259,Private room,Waltham Forest,Cann Hall,40,4.5,2,1,1,48,1,51.556994,0.014056
39,41311,103583,Private room,Barnet,Golders Green,46,5,2,1,,53,3,51.573754,-0.208903
40,41509,181028,Private room,Hounslow,Turnham Green,38,4.5,4,1,,74,1,51.491567,-0.256
41,41712,182322,Private room,Southwark,Cathedrals,48,4.5,2,1,1,127,1,51.50205,-0.10015
42,41936,169878,Private room,Hackney,Victoria,42,4.5,2,1,1,60,7,51.535817,-0.05498
43,42001,183658,Private room,Hammersmith and Fulham,Avonmore and Brook Green,123,5,3,1,,90,2,51.494409,-0.204787
44,42010,157884,Private room,Barnet,East Finchley,343,5,2,1,0,75,2,51.586113,-0.162722
45,42692,186510,Private room,Hammersmith and Fulham,Shepherd's Bush Green,0,,1,1,,188,1,51.508032,-0.21599
