,room_id,survey_id,host_id,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
0,10176931,1476,49180562,Shared room,Amsterdam,De Pijp / Rivierenbuurt,7,4.5,2,1,156,Red Light/ Canal view apartment (Shared),2017-07-23 13:06:27.391699,52.356209,4.887491000000001
1,8935871,1476,46718394,Shared room,Amsterdam,Centrum West,45,4.5,4,1,126,Sunny and Cozy Living room in quite neighbours,2017-07-23 13:06:23.607187,52.378518,4.89612
2,14011697,1476,10346595,Shared room,Amsterdam,Watergraafsmeer,1,0.0,3,1,132,Amsterdam,2017-07-23 13:06:23.603546,52.338811,4.943592
3,6137978,1476,8685430,Shared room,Amsterdam,Centrum West,7,5.0,4,1,121,Canal boat RIDE in Amsterdam,2017-07-23 13:06:22.689787,52.376319,4.890028
4,18630616,1476,70191803,Shared room,Amsterdam,De Baarsjes / Oud West,1,0.0,2,1,93,One room for rent in a three room appartment,2017-07-23 13:06:19.681469,52.370384,4.852873000000001
5,5790170,1476,29968916,Shared room,Amsterdam,De Pijp / Rivierenbuurt,184,4.5,2,1,102,Beautiful apartment,2017-07-23 13:06:19.663975,52.342265000000005,4.897126
6,934060,1476,5037506,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,67,5.0,16,1,462,"LOTUS, Classic Dutch Saling Barge ",2017-07-23 13:06:09.988016,52.377552,4.930418
7,19590049,1476,132687356,Shared room,Amsterdam,Westerpark,2,0.0,2,1,414,big boot Adam 04,2017-07-23 13:06:09.984748,52.375205,4.866117
8,5020280,1476,4059485,Shared room,Amsterdam,Oud Oost,2,0.0,2,1,222,Bright modern appartment in East!,2017-07-23 13:06:07.452609,52.357346,4.9128870000000004
9,15810783,1476,84978218,Shared room,Amsterdam,Centrum West,0,0.0,12,1,301,"CANAL BOATTOUR AMSTERDAM covered boat 1,5 hour",2017-07-23 13:06:07.447989,52.38661,4.890128
10,9188521,1476,29968916,Shared room,Amsterdam,De Pijp / Rivierenbuurt,26,5.0,4,1,246,Beautiful apartment!,2017-07-23 13:06:07.443359,52.342445,4.89695
11,10162121,1476,4555726,Shared room,Amsterdam,Centrum Oost,10,4.5,4,1,198,APARTMENT IN CENTER OF AMSTERDAM,2017-07-23 13:06:05.098304,52.366271000000005,4.896251
12,14217287,1476,7490631,Shared room,Amsterdam,Centrum Oost,0,0.0,2,1,180,Luxury room in renovated 17th century house,2017-07-23 13:06:01.700036,52.36056,4.888896
13,19304350,1476,89256471,Shared room,Amsterdam,De Baarsjes / Oud West,1,0.0,2,1,180,Apartment city center,2017-07-23 13:06:01.697619,52.358221,4.85681
14,9060570,1476,47264416,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.0,4,1,48,sleeping schip Verandering R B&b 2,2017-07-23 13:05:45.752256,52.378351,4.94113
15,13797285,1476,12570608,Shared room,Amsterdam,Oostelijk Havengebied / Indische Buurt,2,0.0,1,1,42,Double super comfy sofa bed in A'dam Oost ;),2017-07-23 13:05:45.749306,52.365477,4.937313
16,8692643,1476,12950894,Shared room,Amsterdam,Geuzenveld / Slotermeer,3,4.0,1,1,45,Single boxspr bed in a living room.,2017-07-23 13:05:45.747052,52.379515999999995,4.800987
17,12314602,1476,31766654,Shared room,Amsterdam,De Pijp / Rivierenbuurt,11,4.0,2,1,48,Simple sleeping place de Pijp,2017-07-23 13:05:45.744708,52.349973999999996,4.89961
18,18985831,1476,22542624,Shared room,Amsterdam,Buitenveldert / Zuidas,6,5.0,2,1,60,Comfortable double bedroom,2017-07-23 13:05:45.742361,52.3293,4.861808
19,11122903,1476,13122312,Shared room,Amsterdam,Buitenveldert / Zuidas,6,4.5,2,1,48,Amsterdam-South Cheerful Shared Apartment,2017-07-23 13:05:45.739061,52.326259,4.857729
